id,source,raw_facility,masked_facility,job_title,location,job_description,requirements,salary_raw,salary_masked,employment_type,application_deadline,contact_information,url,scraped_at
6fe9753a19,indeed_japan,株式会社　ミレニアム,株式会●●,看護師 エル放課後等デイサービス　< ・アルバイト> 職種解説,東京都 杉並区 方南,,,,,,,,https://jp.indeed.com/rc/clk?jk=2bc90567efe093eb&bb=Ka5VE7QGJmUF8vh-3LW4Gz_C1jBv92fLvnB5rNIbcpA1j7enKyycSNKxZVtw9zj4ztYHQ41si8-6n5X1J_Is_uUXgSukPunBIMcbTN19lBgm7nRFR281t-TUl2ZNhnNQ&xkcb=SoAv67M3kfTdJyS5ch0LbzkdCdPP&fccid=c0664645ea60fa37&vjs=3,2026-04-24T16:38:03
df1b9e0926,indeed_japan,社会福祉法人シルヴァーウィング,社会福祉●●●,看護師,東京都 新宿区 富久町,,,,,,,,https://jp.indeed.com/rc/clk?jk=ba84ef582cc4d6dc&bb=Ka5VE7QGJmUF8vh-3LW4G_a_6lYm8VzOdwEORMOubKDKVp7WTxQ0Eqke1vDitgHfSwRl5MX9u0ikWW4BH5F9AqiiE2I7bve2v4l58Z19qCAQ6iOIeFnfJnTTbpPksI1o&xkcb=SoCb67M3kfTdJyS5ch0KbzkdCdPP&fccid=4a0232df5a920137&vjs=3,2026-04-24T16:38:03
d517bd642a,indeed_japan,一般社団法人　スリーベイズ,一般社団●●●,週1日から可 放課後等デイサービス看護師・准看護師 職種解説,東京都 杉並区 阿佐谷南,,,,,,,,https://jp.indeed.com/rc/clk?jk=8f15ba441153dfa6&bb=Ka5VE7QGJmUF8vh-3LW4G2OWvQvZSHVO2baPpYPEojiTbVGSQ-yx9-RMIZMQJo23ubIf64hYjxZSharb6xEt8ljwBPVr9nhIimoWXBd9Zc0RjDRZClZ5kFs-nQE-45KD&xkcb=SoAG67M3kfTdJyS5ch0JbzkdCdPP&fccid=fcb4c2b59bd22097&vjs=3,2026-04-24T16:38:03
e902bd87bc,indeed_japan,株式会社　創生事業団　首都圏事業部,株式会社●●●●,看護職員 日本橋 職種解説,東京都 中央区 日本橋箱崎町,,,,,,,,https://jp.indeed.com/rc/clk?jk=b804fcaba63729f8&bb=Ka5VE7QGJmUF8vh-3LW4Gyz0Pe8TL6KRGDZ3vORwDSo0rTyDrxa5-AMsAtdMwhttxGTKwYTsJOiBKWw6DLOejmXuqD5ntv46Un-KRWyWyREk4k87oLuZMb5YRbXKZxFJ&xkcb=SoCy67M3kfTdJyS5ch0IbzkdCdPP&fccid=6ce04cb4390b92f6&vjs=3,2026-04-24T16:38:03
0822f34c70,indeed_japan,有限会社　川内鉄工工業,有限会社●●●●,デイサービスの看護師 准看護師 職種解説,東京都 江東区 亀戸,,,,,,,,https://jp.indeed.com/rc/clk?jk=6a85fd36a1a078fa&bb=Ka5VE7QGJmUF8vh-3LW4G9JqSY50Gl1QKSIm3R5dPMBoK9t2NUCJ7_SZpyfYbF57HXjHpIeeANFcqr5ezoFxv30UuMy4tMKaYscsHJpx2LnczZmP6WKkw58AMzQrMJQm&xkcb=SoA867M3kfTdJyS5ch0PbzkdCdPP&fccid=4d69360c7d240001&vjs=3,2026-04-24T16:38:03
a67014ca9d,indeed_japan,株式会社　揚工舎,株式会社●●,デイサービス看護師 御徒町 職種解説,東京都 台東区 元浅草,,,,,,,,https://jp.indeed.com/rc/clk?jk=8f80d8a053c1df52&bb=Ka5VE7QGJmUF8vh-3LW4G3PZZVCFrfkgMqx2ccspTSUtoXqyRSJ4cc6ngt-1Eznn4XduFvjG3oJt9s9xB-57SDMjTmv88C0Z4wA21ODpxdClnW-E9QgaeQJIhssmAeFJ&xkcb=SoCI67M3kfTdJyS5ch0ObzkdCdPP&fccid=d323b9e838345243&vjs=3,2026-04-24T16:38:03
2f0b7ff1f5,indeed_japan,株式会社　ヨウコー　アソシエイツ,株式会社●●●●,デイサービス看護師 高井戸,東京都 杉並区 高井戸駅,,,,,,,,https://jp.indeed.com/rc/clk?jk=4e24957a398e132c&bb=Ka5VE7QGJmUF8vh-3LW4G8E02UvOKOVVxnvY3eMHcQ2v_WTE3IlzlJY34Yvm6AFCNjlwG25Cj_Aglo3XFkusDCrXOflW07i5fV5Ui_PNBtT6bFXe0cWEq6Sxl3RfV_c6&xkcb=SoAV67M3kfTdJyS5ch0NbzkdCdPP&fccid=f224a4e189602779&vjs=3,2026-04-24T16:38:03
9232c92c70,indeed_japan,株式会社　aeeグループ,株式会社●●,看護師、准看護師「足立区」 職種解説,東京都 足立区 江北,,,,,,,,https://jp.indeed.com/rc/clk?jk=b138c77f7f595989&bb=Ka5VE7QGJmUF8vh-3LW4G0PgcrzQnml3-jXNsCc6K1kJcFLbixy2dJZ41u0mfWkiZTkNKp74A8EXE-NzJ2Am-72RnX8fGc0urJde3K0sCtY5_IeP0C_MopDXSMH9hDMJ&xkcb=SoCh67M3kfTdJyS5ch0MbzkdCdPP&fccid=01764376f7a67eb7&vjs=3,2026-04-24T16:38:03
c13859279b,indeed_japan,社会福祉法人　松風会,社会福祉●●,正看護師、准看護士 職種解説,東京都 大田区 大森西,,,,,,,,https://jp.indeed.com/rc/clk?jk=8984abe5491e3cec&bb=Ka5VE7QGJmUF8vh-3LW4G61VhOyFJNZk87np-Xfpxmm6Z1v346p2uAif8PtmziJgkWVYugEzhpkz5wqIke-bhH-_JlCd_kRDMyJrbDWDABqxA1OR3QBvC21FRoTo8K3B&xkcb=SoBI67M3kfTdJyS5ch0DbzkdCdPP&fccid=6f5409b201f32ab4&vjs=3,2026-04-24T16:38:03
3654715b0e,indeed_japan,ALSOKらいふケア株式会社,ALSO●●●●,看護師 高井戸 有料老人ホーム 職種解説,東京都 杉並区 高井戸駅,,,,,,,,https://jp.indeed.com/rc/clk?jk=6d0365c8e8eb3638&bb=Ka5VE7QGJmUF8vh-3LW4G0caEY9dEqpY3vVRO26q_iDA9ybIrPoQDA6HwKBRCvl0H7BEX2Nwk7Al_rgjICzRoAVdk7ng6tTy0dNRINMddKAdHdy5B5iv2W8KgXRgzwBf&xkcb=SoD867M3kfTdJyS5ch0CbzkdCdPP&fccid=d3ccd9a6b1cdb9ef&vjs=3,2026-04-24T16:38:03
